emisor,termino_consulta,idioma,fuente,titulo,autor,descripcion,url,url_imagen,contenido,fecha_publicacion,fecha_consulta_desde,fecha_consulta_hasta
Banco Popular,Banco Popular,es,Movilzona.es,Así puedes borrar tu cuenta de Bizum en 5 pasos,Ricardo Fernández,"Bizum se ha convertido en uno de los servicios más utilizados en España para enviar y recibir dinero de forma inmediata e incluso ya se puede usar en Amazon . Su sencillez, puesto que solo necesitas el número de móvil del destinatario, lo ha hecho muy popular…",https://www.movilzona.es/noticias/aplicaciones/borrar-cuenta-bizum/,https://www.movilzona.es/app/uploads-movilzona.es/2025/04/Bizum-logo-con-fondo-oscuro-y-chica-con-movil.jpg,"La cosa está en que no vas a encontrar una aplicación de Bizum desde la que gestionar tu cuenta y estado, ya que se trata de un servicio que está integrado dentro de la propia aplicación de tu banco.… [+2572 chars]",2025-08-24T15:36:08,2025-07-27,2025-08-25
ISA,ISA,es,Mundodeportivo.com,"""Somos el mejor grupo de Europa"": las cadetes regresan con un oro histórico",User Admin,"Con la medalla de oro colgada al cuello y el trofeo de campeonas de Europa en las manos, la Selección Española Femenina Sub-16 de baloncesto ha aterrizado este domingo en Madrid. La expedición regresa de Rumanía, donde el sábado se coronó en lo más alto del p…",https://www.mundodeportivo.com/baloncesto/basket-feb/20250824/1002519677/mejor-grupo-europa-cadetes-regresan-oro-historico.html,https://www.mundodeportivo.com/files/og_thumbnail/uploads/2025/08/24/68ab2c2672c86.jpeg,"Con la medalla de oro colgada al cuello y el trofeo de campeonas de Europa en las manos, la Selección Española Femenina Sub-16 de baloncesto ha aterrizado este domingo en Madrid. La expedición regres… [+2336 chars]",2025-08-24T15:14:09,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,La Nacion,Hernán Lacunza: “El Gobierno elige el rincón de la estabilidad y los daños colaterales se ven más adelante”,Esteban Lafuente,"Es economista graduado en la UBA; completó un posgrado en la Universidad Torcuato Di Tella (UTDT); fue gerente general y economista jefe del Banco Central (2005-2010), ministro de Economía de la provincia de Buenos Aires (2015-2019) y ministro de Economía de …",https://www.lanacion.com.ar/economia/dolar/hernan-lacunza-el-gobierno-elige-el-rincon-de-la-estabilidad-y-los-danos-colaterales-se-ven-mas-nid31082025/,https://resizer.glanacion.com/resizer/v2/hernan-lacunza-economista-y-exministro-de-DKHLQ7WYP5HLXABBRC3GWESGOQ.JPG?auth=ab5a6ebd8c66b8abb4e8154774d3ef04a553085c52dfb558ac0bff2048d44f04&width=1200&quality=70&smart=false&height=800,"Sacar al dólar de las pantallas, con el costo de menor actividad y empleo hacia adelante. Así sintetiza el exministro Hernán Lacunza al dilema y las consecuencias del esquema monetario y cambiario qu… [+14230 chars]",2025-08-24T14:59:57,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,Nacion.com,14 alcaldes de 8 partidos: chavismo pesca en los municipios. ¿Un golpe en la mesa o un espejismo?,Roger Bolaños Vargas,"14 alcaldes se han separados de los partidos que los llevaron al poder para apoyar el continuismo. Pero, ¿qué significa ese “chavismo” para sus cantones y por qué corren para sumarse?",https://www.nacion.com/revista-dominical/14-alcaldes-de-8-partidos-chavismo-pesca-en-los/VVAFZZUW6NFH3EZOX2NJH2OJJM/story/,https://www.nacion.com/resizer/v2/VLIZTEUFVNEARABSGMA453EN54.jpg?smart=true&auth=076e63c0ebf69ea85d2d80a7a2520e59d30543098cb9ba30a8783b9f3c5f0d41&width=1440,"La desbandada ha provocado un debate inusual en la pretemporada electoral, pero la pregunta sigue en el aire con respecto alo que subyace a estas separaciones. Más allá del gesto de los alcaldes que,… [+22698 chars]",2025-08-24T14:59:25,2025-07-27,2025-08-25
BBVA,BBVA,es,El Financiero,¿Se perdió tu pago por SPEI? Así puedes rastrear y recuperar una transferencia bancaria,Redacción,"¿Tu transferencia por SPEI no llegó? Banxico detalla por qué una transferencia puede tardar o fallar. Te explicamos cómo rastrear tu pago, qué significan los distintos estados y cómo reportar ante tu banco o la Condusef.",https://www.elfinanciero.com.mx/mis-finanzas/2025/08/24/se-perdio-tu-pago-por-spei-asi-puedes-rastrear-y-recuperar-una-transferencia-bancaria/,https://www.elfinanciero.com.mx/resizer/v2/SX43ZYON65ELPHGK7AOD52466E.jpeg?smart=true&auth=dc35873e11b55565aee19e3e44ce546b6ac2bb8ef71a3ffac1ace259747d13a4&width=1200&height=630,"Al final ser adulto es cobrar la quincena, prepararse un café y empezar a transferir. Así lo explica un meme que cobra popularidad cada 15 días. Sin embargo, ¿te has preguntado qué hacer si una trans… [+5437 chars]",2025-08-24T14:30:00,2025-07-27,2025-08-25
MINEROS,MINEROS,es,Criptonoticias.com,Tarifas diarias en Bitcoin caen a niveles ancestrales,Franco Scandizzo,"El total de comisiones pagadas por transacciones en Bitcoin retrocedió a cifras comparables con las de 2011. 
Leer más",https://www.criptonoticias.com/mineria/tarifas-diarias-bitcoin-caen-niveles-ancestrales/,https://www.criptonoticias.com/wp-content/uploads/2025/08/Monedas-BTC.jpg,"<ul><li>El 23 de agosto se registraron apenas 3,5 BTC en tarifas.
</li><li>Algunos bloques minados incluyeron entre 200 y 300 dólares en comisiones. 
</li></ul>
El total acumulado de tarifas diari… [+1497 chars]",2025-08-24T13:33:13,2025-07-27,2025-08-25
BBVA,BBVA,es,Lavozdegalicia.es,Sabadell reparte 370 millones de euros entre sus accionistas el próximo viernes,https://www.facebook.com/lavozdegalicia,"Como consecuencia de este dividendo, BBVA tendrá que ajustar el precio de su opa",https://www.lavozdegalicia.es/noticia/economia/2025/08/24/sabadell-reparte-370-millones-euros-accionistas-proximo-viernes/00031756033632154257914.htm,https://img.lavdg.com/sc/KiUGJjeFHBgeihA6IEyw6ZtPDuY=/1280x/2025/08/24/00121756035302110936938/Foto/eup_20250806_161914833.jpg,"Banco Sabadell repartirá un dividendo de 0,07 euros por acción a cuenta de los resultados de 2025 este próximo viernes, 29 de agosto. En total, tiene previsto repartir unos 370,1 millones de euros en… [+2914 chars]",2025-08-24T11:35:01,2025-07-27,2025-08-25
Banco Popular,Banco Popular,es,Nacion.com,Víctimas de estafas bancarias están cerca de encontrar un alivio,Yeryis Salas,"Plan que le daría más responsabilidades a bancos cuyos clientes sufran estafas avanza en el Congreso, pero las entidades creen que debe ser más equilibrado.",https://www.nacion.com/sucesos/victimas-de-estafas-bancarias-estan-cerca-de/PQ36Q24RGJFXFFH35HSOC42ISU/story/,https://www.nacion.com/resizer/v2/XY7E4FOPYJCFJBGXYCO6HFAJLI.jpg?smart=true&auth=879f7f28c0e986ce5be5279922b307332df22373d4ca529f4e24951338d48ac8&width=1440,"Gabriela Peterson Lizano recibió una llamada de quien afirmaba ser funcionario de la Municipalidad de Heredia. 
Dado que ella tiene un terreno a su nombre en este cantón, confió en la persona cuando… [+5630 chars]",2025-08-24T11:15:00,2025-07-27,2025-08-25
ISA,ISA,es,Hola,"Isa Pantoja abre el álbum de su viaje con su hijo Cairo, de dos meses, a Marruecos: “Rodeado de familia y mucho cariño”",Patricia Granada,La pareja celebra los dos meses de su hijo Cairo con la familia paterna y un deseo muy especial,https://www.hola.com/actualidad/20250824851791/isa-pantoja-abre-el-album-de-su-viaje-con-su-hijo-cairo-de-dos-meses-a-marruecos-rodeado-de-familia-y-mucho-carino/,https://www.hola.com/horizon/landscape/ff1a6bdfd642-dos-meses-de-vida-y-ya-todo-un-viajeropasa-la-foto-para-leer-masss.jpg?im=Resize=(1200),"Han pasado apenas dos meses desde que Isa Pantoja y Asraf Beno se convirtieron en padres de su primer hijo en común, el pequeño Cairo, y ya han querido escribir con él la primera página de una vida l… [+5390 chars]",2025-08-24T10:09:43,2025-07-27,2025-08-25
ISA,ISA,es,Marca,España es el azote de Europa,JOSÉ LUIS MARTÍNEZ,"Ha cosechado este verano seis medallas (4 oros, 1 plata y 1 bronce) en los 9 campeonatos internacionales en los que ha participado&nbsp;  Leer",https://www.marca.com/baloncesto/eurobasket/2025/08/24/espana-azote-europa.html,https://e00-xlk-ue-marca.uecdn.es/files/article_main_microformat/uploads/2025/08/24/68aae3d40ca6e.jpeg,"Un verano más el baloncesto español está dejando huella con una cosecha de éxitos sin parangón en Europa. Es en este periodo estival, con la disputa de la mayoría de torneos internacionales de todas … [+5294 chars]",2025-08-24T09:59:40,2025-07-27,2025-08-25
